symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
SO,—,65,2024-06-04,2024-06-06,80.77,78.53,61.8871,-140.03,-2.78,A:EMA8
SO,—,65,2024-06-04,2024-06-07,80.77,77.82,61.8871,-183.91,-3.65,A:EMA21
KDP,—,66,2024-06-04,2024-06-10,34.85,34.11,143.4737,-107.29,-2.12,A:EMA8
WELL,—,62,2024-06-04,2024-06-10,104.57,103.37,47.7865,-58.54,-1.15,A:EMA8
KDP,—,66,2024-06-04,2024-06-11,34.85,33.78,143.4737,-154.57,-3.07,A:EMA21
MO,XLP,61,2024-06-04,2024-06-11,46.87,46.33,106.606,-58.5,-1.15,A:EMA8
KDP,—,66,2024-06-04,2024-06-12,34.85,33.56,286.9474,-371.17,-3.7,B:ATR2.5x
MO,XLP,61,2024-06-04,2024-06-13,46.87,45.68,106.606,-127.69,-2.53,A:EMA21
MO,XLP,61,2024-06-04,2024-06-13,46.87,45.68,213.212,-254.39,-2.53,B:ATR2.5x
RCL,—,65,2024-06-04,2024-06-14,155.28,148.28,32.1865,-226.78,-4.51,A:EMA8
RCL,—,65,2024-06-04,2024-06-14,155.28,148.28,32.1865,-226.78,-4.51,A:EMA21
SO,—,65,2024-06-04,2024-06-17,80.77,77.56,123.7741,-398.95,-3.98,B:ATR2.5x
QCOM,SMH,72,2024-06-13,2024-06-20,217.98,215.15,22.5921,-65.35,-1.3,A:EMA8
WELL,—,62,2024-06-04,2024-06-21,104.57,102.17,47.7865,-116.28,-2.3,A:EMA21
MU,SMH,79,2024-06-12,2024-06-21,140.86,139.33,34.9094,-54.73,-1.09,A:EMA8
MU,SMH,79,2024-06-12,2024-06-21,140.86,139.33,69.8188,-108.46,-1.09,B:ATR2.5x
QCOM,SMH,72,2024-06-13,2024-06-21,217.98,212.21,45.1841,-262.35,-2.65,B:ATR2.5x
COST,XLP,63,2024-06-17,2024-06-21,868.6,847.04,5.6717,-123.57,-2.48,A:EMA8
QCOM,SMH,72,2024-06-13,2024-06-24,217.98,200.54,22.5921,-395.38,-8.0,A:EMA21
WELL,—,62,2024-06-04,2024-06-25,104.57,100.78,95.5729,-364.2,-3.63,B:ATR2.5x
MU,SMH,79,2024-06-12,2024-06-27,140.86,132.03,34.9094,-309.53,-6.27,A:EMA21
IP,—,65,2024-06-24,2024-06-27,47.36,43.19,101.2961,-423.93,-8.81,A:EMA8
IP,—,65,2024-06-24,2024-06-27,47.36,43.19,101.2961,-423.93,-8.81,A:EMA21
IP,—,65,2024-06-24,2024-06-27,47.36,43.19,202.5922,-846.86,-8.81,B:ATR2.5x
ISRG,XLV,63,2024-06-27,2024-07-01,445.47,435.59,10.5859,-105.84,-2.22,A:EMA8
COST,XLP,63,2024-06-17,2024-07-11,868.6,845.32,5.6717,-133.31,-2.68,A:EMA21
COST,XLP,63,2024-06-17,2024-07-11,868.6,845.32,11.3435,-265.62,-2.68,B:ATR2.5x
GOOGL,XLC,68,2024-06-25,2024-07-11,184.18,185.29,26.0671,27.8,0.61,A:EMA8
GOOG,XLC,65,2024-06-27,2024-07-11,187.01,187.02,25.2204,-1.01,0.01,A:EMA8
GOOGL,XLC,68,2024-06-25,2024-07-17,184.18,180.75,26.0671,-90.63,-1.86,A:EMA21
GOOGL,XLC,68,2024-06-25,2024-07-17,184.18,180.75,52.1341,-180.26,-1.86,B:ATR2.5x
GOOG,XLC,65,2024-06-27,2024-07-17,187.01,182.35,25.2204,-118.86,-2.49,A:EMA21
GOOG,XLC,65,2024-06-27,2024-07-17,187.01,182.35,50.4409,-236.73,-2.49,B:ATR2.5x
ISRG,XLV,63,2024-06-27,2024-07-17,445.47,425.59,10.5859,-211.65,-4.46,A:EMA21
ISRG,XLV,63,2024-06-27,2024-07-17,445.47,425.59,21.1718,-422.3,-4.46,B:ATR2.5x
EXR,—,64,2024-07-17,2024-07-24,167.94,161.63,27.7436,-176.51,-3.76,A:EMA8
EXR,—,64,2024-07-17,2024-07-24,167.94,161.63,55.4872,-352.02,-3.76,B:ATR2.5x
RCL,—,65,2024-06-04,2024-07-25,155.28,151.79,64.373,-226.3,-2.25,B:ATR2.5x
VTR,—,66,2024-07-11,2024-07-25,53.02,53.11,88.9132,6.56,0.17,A:EMA8
WMT,XLP,60,2024-07-17,2024-07-25,71.09,69.91,65.5337,-78.05,-1.65,A:EMA8
WMT,XLP,60,2024-07-17,2024-07-30,71.09,69.09,65.5337,-132.36,-2.81,A:EMA21
EXR,—,64,2024-07-17,2024-07-31,167.94,159.38,27.7436,-238.84,-5.1,A:EMA21
WMT,XLP,60,2024-07-17,2024-07-31,71.09,68.54,131.0674,-335.69,-3.59,B:ATR2.5x
