symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
META,XLC,66,2021-06-07,2021-06-09,336.85,330.08,29.6703,-202.2,-2.01,PARTIAL
TXT,—,73,2021-06-07,2021-06-10,70.03,68.19,142.797,-264.26,-2.63,PARTIAL
TXT,—,73,2021-06-07,2021-06-14,70.03,67.05,142.797,-426.56,-4.25,EMA21
PSA,—,65,2021-06-07,2021-06-16,291.45,292.06,34.2858,19.45,0.21,PARTIAL
ANET,XLK,70,2021-06-07,2021-06-24,22.05,22.71,453.4639,298.25,3.0,PARTIAL
BX,—,69,2021-06-07,2021-06-30,94.48,97.09,105.8063,275.28,2.77,PARTIAL
FTNT,IGV,72,2021-06-14,2021-06-30,46.33,47.62,216.3866,277.45,2.78,PARTIAL
META,XLC,66,2021-06-07,2021-07-15,336.85,343.94,29.6703,208.98,2.11,EMA21
ANET,XLK,70,2021-06-07,2021-07-16,22.05,22.69,453.4639,287.94,2.9,EMA21
EFX,—,73,2021-07-15,2021-07-22,250.9,249.6,41.1649,-55.24,-0.52,PARTIAL
PSA,—,65,2021-06-07,2021-08-03,291.45,309.12,34.2858,604.08,6.06,EMA21
RMD,—,68,2021-07-16,2021-08-05,253.39,267.25,40.8546,564.49,5.47,PARTIAL
EFX,—,73,2021-07-15,2021-08-09,250.9,252.86,41.1649,79.17,0.78,EMA21
ZS,—,79,2021-08-03,2021-08-10,243.26,240.38,44.4112,-129.61,-1.19,PARTIAL
BX,—,69,2021-06-07,2021-08-18,94.48,111.26,105.8063,1774.71,17.77,EMA21
PAYC,—,71,2021-08-09,2021-08-18,468.93,459.0,23.0136,-230.13,-2.12,PARTIAL
KR,—,65,2021-08-18,2021-08-26,46.3,45.15,230.1044,-266.03,-2.48,PARTIAL
KR,—,65,2021-08-18,2021-09-10,46.3,42.61,230.1044,-850.82,-7.97,EMA21
FTNT,IGV,72,2021-06-14,2021-09-13,46.33,59.29,216.3866,2803.71,27.98,EMA21
PAYC,—,71,2021-08-09,2021-09-13,468.93,464.9,23.0136,-94.32,-0.86,EMA21
RMD,—,68,2021-07-16,2021-09-16,253.39,285.75,40.8546,1320.48,12.77,EMA21
STM,—,70,2021-09-14,2021-09-17,46.66,45.84,231.2711,-191.19,-1.76,PARTIAL
ON,SMH,63,2021-09-10,2021-09-20,46.93,47.65,231.1327,164.6,1.53,PARTIAL
FSLR,—,55,2021-09-13,2021-09-20,106.25,95.64,101.2083,-1075.6,-9.99,PARTIAL
FSLR,—,55,2021-09-13,2021-09-20,106.25,95.55,101.2083,-1085.29,-10.08,EMA21
ICLR,—,70,2021-09-16,2021-09-27,270.96,271.05,39.9187,2.4,0.04,PARTIAL
