symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
NFLX,XLC,82,2025-06-04,2025-06-09,124.07,122.39,80.5825,-136.91,-1.35,PARTIAL
PWR,—,82,2025-06-04,2025-06-10,359.4,348.59,27.8135,-302.21,-3.01,PARTIAL
GE,XLI,68,2025-06-04,2025-06-10,251.08,241.88,39.7988,-367.72,-3.66,PARTIAL
APH,—,84,2025-06-04,2025-06-13,91.98,92.44,108.7097,48.53,0.5,PARTIAL
GE,XLI,68,2025-06-04,2025-06-13,251.08,236.25,39.7988,-591.94,-5.91,EMA21
PM,XLP,65,2025-06-13,2025-06-18,184.48,182.52,53.3194,-105.94,-1.06,PARTIAL
PM,XLP,65,2025-06-13,2025-06-25,184.48,179.33,53.3194,-275.93,-2.79,EMA21
STX,—,71,2025-06-04,2025-07-08,127.74,144.4,78.2389,1301.62,13.04,PARTIAL
WDC,—,79,2025-06-25,2025-07-08,62.6,63.99,161.6365,222.84,2.22,PARTIAL
NFLX,XLC,82,2025-06-04,2025-07-10,124.07,124.87,80.5825,63.23,0.65,EMA21
RCL,—,87,2025-07-10,2025-07-29,341.63,334.2,30.0968,-225.13,-2.17,PARTIAL
RCL,—,87,2025-07-10,2025-07-30,341.63,330.65,30.0968,-331.96,-3.21,EMA21
PWR,—,82,2025-06-04,2025-08-01,359.4,394.58,27.8135,976.98,9.79,EMA21
AVGO,SMH,78,2025-07-30,2025-08-01,302.86,288.5,34.7237,-500.36,-4.74,PARTIAL
STX,—,71,2025-06-04,2025-08-06,127.74,147.05,78.2389,1509.06,15.11,EMA21
NOC,—,58,2025-08-01,2025-08-08,586.91,580.82,17.8881,-110.43,-1.04,PARTIAL
PLTR,IGV,68,2025-08-06,2025-08-15,179.68,177.08,58.4537,-153.61,-1.45,PARTIAL
AVGO,SMH,78,2025-07-30,2025-08-19,302.86,294.47,34.7237,-292.99,-2.77,EMA21
PLTR,IGV,68,2025-08-06,2025-08-19,179.68,157.51,58.4537,-1297.43,-12.34,EMA21
JNJ,XLV,60,2025-08-19,2025-08-26,177.94,176.4,58.1611,-91.1,-0.87,PARTIAL
NOC,—,58,2025-08-01,2025-09-03,586.91,580.14,17.8881,-122.61,-1.15,EMA21
WYNN,—,64,2025-08-19,2025-09-05,112.92,120.84,91.6671,724.44,7.01,PARTIAL
JNJ,XLV,60,2025-08-19,2025-09-10,177.94,175.53,58.1611,-142.01,-1.36,EMA21
ANET,XLK,85,2025-09-10,2025-09-12,150.84,139.32,73.3256,-846.23,-7.64,PARTIAL
WYNN,—,64,2025-08-19,2025-10-03,112.92,123.47,91.6671,965.98,9.35,EMA21
APH,—,84,2025-06-04,2025-10-10,91.98,121.52,108.7097,3209.12,32.11,EMA21
GLW,—,75,2025-09-03,2025-10-10,69.4,82.94,154.6753,2093.27,19.52,PARTIAL
MU,SMH,67,2025-10-03,2025-10-10,187.98,181.51,62.9289,-408.72,-3.44,PARTIAL
MNST,—,64,2025-10-10,2025-10-13,69.68,67.12,165.4539,-424.94,-3.67,PARTIAL
WDC,—,79,2025-06-25,2025-10-14,62.6,112.96,161.6365,8138.56,80.45,EMA21
ANET,XLK,85,2025-09-10,2025-10-14,150.84,138.58,73.3256,-900.38,-8.13,EMA21
NEM,—,83,2025-10-14,2025-10-17,90.61,90.72,125.521,12.58,0.12,PARTIAL
NEM,—,83,2025-10-14,2025-10-21,90.61,86.19,125.521,-556.54,-4.88,EMA21
CAT,XLI,64,2025-10-14,2025-10-22,527.89,513.65,21.542,-308.24,-2.7,PARTIAL
MNST,—,64,2025-10-10,2025-10-29,69.68,66.46,165.4539,-533.52,-4.62,EMA21
GLW,—,75,2025-09-03,2025-11-04,69.4,85.08,154.6753,2424.85,22.6,EMA21
LRCX,SMH,83,2025-10-29,2025-11-04,160.8,155.7,73.5411,-376.3,-3.17,PARTIAL
WBD,—,72,2025-10-21,2025-11-12,20.35,22.18,561.6861,1027.87,9.01,PARTIAL
LRCX,SMH,83,2025-10-29,2025-11-13,160.8,153.09,73.5411,-568.39,-4.79,EMA21
CAT,XLI,64,2025-10-14,2025-11-18,527.89,546.06,21.542,389.87,3.44,EMA21
MU,SMH,67,2025-10-03,2025-11-19,187.98,225.58,62.9289,2364.68,20.0,EMA21
VLO,—,67,2025-11-18,2025-11-20,185.58,170.73,65.4736,-973.37,-8.0,PARTIAL
VLO,—,67,2025-11-18,2025-11-20,185.58,170.56,65.4736,-984.56,-8.09,EMA21
LLY,XLV,70,2025-11-04,2025-12-01,907.59,1057.36,12.8647,1925.32,16.5,PARTIAL
HCA,—,64,2025-11-19,2025-12-03,481.44,486.53,25.0997,126.05,1.06,PARTIAL
UHS,—,69,2025-11-21,2025-12-03,232.11,230.03,51.7517,-108.66,-0.89,PARTIAL
UHS,—,69,2025-11-21,2025-12-03,232.11,229.8,51.7517,-120.57,-0.99,EMA21
LLY,XLV,70,2025-11-04,2025-12-05,907.59,1008.79,12.8647,1300.53,11.15,EMA21
VTR,—,58,2025-11-13,2025-12-09,77.3,79.97,155.6858,413.9,3.45,PARTIAL
VTR,—,58,2025-11-13,2025-12-10,77.3,77.61,155.6858,47.01,0.4,EMA21
HCA,—,64,2025-11-19,2025-12-10,481.44,468.03,25.0997,-338.29,-2.79,EMA21
TER,—,84,2025-12-03,2025-12-12,195.24,193.27,61.6308,-122.47,-1.01,PARTIAL
CAT,XLI,77,2025-12-05,2025-12-12,603.65,597.59,20.1645,-123.73,-1.0,PARTIAL
AMAT,SMH,84,2025-12-10,2025-12-12,275.37,259.08,44.8463,-732.03,-5.92,PARTIAL
MU,SMH,80,2025-12-10,2025-12-12,263.92,241.02,46.784,-1072.92,-8.68,PARTIAL
MU,SMH,80,2025-12-10,2025-12-15,263.92,237.14,46.784,-1254.24,-10.15,EMA21
TER,—,84,2025-12-03,2025-12-17,195.24,184.93,61.6308,-636.54,-5.28,EMA21
CAT,XLI,77,2025-12-05,2025-12-17,603.65,561.05,20.1645,-860.61,-7.06,EMA21
AMAT,SMH,84,2025-12-10,2025-12-17,275.37,247.9,44.8463,-1233.54,-9.98,EMA21
STLD,—,70,2025-12-18,2025-12-29,174.72,172.79,65.288,-127.25,-1.1,PARTIAL
HLT,—,61,2025-12-17,2025-12-30,293.23,290.28,39.1166,-116.88,-1.01,PARTIAL
GM,—,77,2025-12-15,2025-12-31,82.05,81.28,143.5676,-111.51,-0.93,PARTIAL
DG,—,62,2025-12-17,2025-12-31,137.08,132.7,83.6906,-367.73,-3.19,PARTIAL
STLD,—,70,2025-12-18,2025-12-31,174.72,169.2,65.288,-362.14,-3.16,EMA21
HLT,—,61,2025-12-17,2026-01-05,293.23,285.34,39.1166,-310.25,-2.69,EMA21
GM,—,77,2025-12-15,2026-01-14,82.05,81.11,143.5676,-136.08,-1.14,EMA21
DD,—,74,2026-01-05,2026-01-14,42.04,42.87,274.841,225.23,1.96,PARTIAL
WBD,—,72,2025-10-21,2026-01-20,20.35,28.2,561.6861,4408.51,38.59,EMA21
TER,—,83,2026-01-02,2026-01-20,207.73,223.87,54.9096,884.85,7.77,PARTIAL
DLTR,—,79,2026-01-14,2026-01-20,140.4,133.99,84.0103,-539.94,-4.56,PARTIAL
DLTR,—,79,2026-01-14,2026-01-22,140.4,126.6,84.0103,-1161.05,-9.83,EMA21
ILMN,—,84,2026-01-22,2026-01-28,154.07,149.79,75.1795,-323.88,-2.78,PARTIAL
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,83.6906,374.08,3.27,EMA21
NEM,—,71,2026-01-20,2026-01-30,119.04,112.29,96.9604,-655.14,-5.66,PARTIAL
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,96.9604,-666.04,-5.76,EMA21
ILMN,—,84,2026-01-22,2026-01-30,154.07,144.59,75.1795,-714.23,-6.15,EMA21
LUV,—,83,2026-01-29,2026-02-11,48.54,51.4,241.8883,691.63,5.9,PARTIAL
CVX,XLE,62,2026-01-30,2026-02-17,177.04,180.46,63.7593,216.44,1.93,PARTIAL
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,241.8883,307.24,2.63,EMA21
DD,—,74,2026-01-05,2026-03-03,42.04,48.2,274.841,1689.87,14.64,EMA21
FDX,—,74,2026-01-30,2026-03-03,259.7,307.89,43.4734,2093.41,18.56,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,351.14,32.063,-1416.17,-11.16,PARTIAL
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,350.79,32.063,-1427.44,-11.25,EMA21
MCK,—,71,2026-03-03,2026-03-05,996.49,930.88,12.1757,-800.26,-6.58,PARTIAL
MCK,—,71,2026-03-03,2026-03-05,996.49,929.95,12.1757,-811.6,-6.68,EMA21
TER,—,83,2026-01-02,2026-03-06,207.73,272.64,54.9096,3562.92,31.25,EMA21
