symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
PLTR,IGV,60,2023-06-05,2023-06-07,15.25,14.67,1310.3306,-767.53,-3.83,ATR
ORCL,IGV,64,2023-06-05,2023-06-13,107.02,116.5,186.8794,1771.38,8.87,ATR
NOW,IGV,60,2023-06-05,2023-06-26,111.43,107.43,179.3859,-719.63,-3.59,ATR
PHM,—,68,2023-06-13,2023-07-06,73.95,74.9,276.4326,260.16,1.28,ATR
RCL,—,60,2023-06-05,2023-07-14,87.67,97.61,228.0391,2265.46,11.34,ATR
ISRG,XLV,71,2023-07-14,2023-07-21,354.28,336.16,59.1086,-1073.53,-5.12,ATR
HUBB,—,67,2023-06-13,2023-07-25,315.79,318.04,64.7212,143.61,0.71,ATR
ROL,—,58,2023-07-06,2023-07-27,43.51,40.76,481.5272,-1329.1,-6.33,ATR
UAL,—,68,2023-07-21,2023-07-27,57.66,53.18,361.9432,-1622.05,-7.76,ATR
VRSK,—,63,2023-06-05,2023-07-31,223.31,228.6,89.5425,471.51,2.37,ATR
RCL,—,85,2023-07-27,2023-08-03,109.77,104.56,181.6368,-947.39,-4.74,ATR
ADBE,IGV,83,2023-07-31,2023-08-09,546.61,513.01,36.571,-1230.7,-6.15,ATR
LRCX,SMH,61,2023-07-27,2023-08-11,70.25,65.1,283.7803,-1461.75,-7.32,ATR
PHM,—,63,2023-07-25,2023-08-17,83.49,78.67,245.501,-1184.07,-5.77,ATR
MCK,—,61,2023-08-03,2023-08-17,435.47,416.32,44.4819,-853.54,-4.4,ATR
SLB,XLE,72,2023-08-09,2023-08-22,59.56,56.33,325.1357,-1052.91,-5.43,ATR
CSCO,XLK,57,2023-08-17,2023-09-12,54.77,56.31,336.7672,513.8,2.8,ATR
ROST,—,57,2023-08-18,2023-09-13,118.81,116.64,155.9342,-340.41,-1.83,ATR
LLY,XLV,65,2023-08-22,2023-09-18,554.1,570.42,33.1521,539.05,2.95,ATR
TJX,XLY,64,2023-09-13,2023-09-20,92.99,90.52,203.3836,-504.42,-2.66,ATR
CHTR,—,81,2023-09-18,2023-09-26,456.09,428.08,41.0874,-1153.17,-6.14,ATR
IBM,XLK,60,2023-09-20,2023-09-26,149.95,143.03,122.9453,-853.36,-4.62,ATR
SLB,XLE,76,2023-09-12,2023-09-29,62.15,58.21,306.9089,-1210.34,-6.33,ATR
