symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
ETHUSDT,—,11,2021-08-13,2021-08-16,3324.977856,3144.956735,3.003454,-560.12,-5.41,PARTIAL
ADAUSDT,—,14,2021-08-13,2021-08-17,2.140311,1.922938,4667.550907,-1033.56,-10.16,PARTIAL
BTCUSDT,—,17,2021-08-20,2021-08-24,49361.927976,47650.172995,0.220752,-399.29,-3.47,PARTIAL
FETUSDT,—,45,2021-08-31,2021-09-05,0.72538,0.670065,16679.942538,-945.93,-7.63,PARTIAL
ADAUSDT,—,14,2021-08-13,2021-09-07,2.140311,2.510229,4667.550907,1704.91,17.28,EMA21
ETHUSDT,—,11,2021-08-13,2021-09-07,3324.977856,3429.418145,3.003454,293.4,3.14,EMA21
BTCUSDT,—,17,2021-08-20,2021-09-07,49361.927976,46793.434405,0.220752,-588.23,-5.2,EMA21
SOLUSDT,—,13,2021-08-15,2021-09-14,53.573825,158.80056,186.656344,19601.6,196.41,PARTIAL
ALGOUSDT,—,60,2021-09-08,2021-09-17,1.917833,1.922638,7941.063086,7.66,0.25,PARTIAL
FETUSDT,—,45,2021-08-31,2021-09-19,0.72538,0.763952,16679.942538,618.55,5.32,EMA21
HBARUSDT,—,52,2021-09-14,2021-09-19,0.456665,0.396602,31064.800577,-1892.37,-13.15,PARTIAL
SOLUSDT,—,13,2021-08-15,2021-09-20,53.573825,132.570845,186.656344,14710.55,147.45,EMA21
ALGOUSDT,—,60,2021-09-08,2021-09-20,1.917833,1.67109,7941.063086,-1987.91,-12.87,EMA21
ATOMUSDT,—,63,2021-09-12,2021-09-20,34.917912,33.992995,438.800774,-436.09,-2.65,PARTIAL
HBARUSDT,—,52,2021-09-14,2021-09-20,0.456665,0.338991,31064.800577,-3680.25,-25.77,EMA21
ATOMUSDT,—,63,2021-09-12,2021-09-21,34.917912,30.404325,438.800774,-2009.23,-12.93,EMA21
SOLUSDT,—,50,2021-10-22,2021-10-27,196.447032,184.397755,62.755038,-780.05,-6.13,PARTIAL
NEARUSDT,—,59,2021-10-25,2021-10-30,12.330857,10.47576,1012.683793,-1901.72,-15.04,PARTIAL
CRVUSDT,—,63,2021-10-25,2021-11-02,4.801838,4.285856,2601.451515,-1365.94,-10.75,PARTIAL
DOTUSDT,—,48,2021-11-01,2021-11-09,50.019984,50.75461,233.295558,147.87,1.47,PARTIAL
CRVUSDT,—,63,2021-10-25,2021-11-10,4.801838,4.076876,2601.451515,-1909.05,-15.1,EMA21
DOTUSDT,—,48,2021-11-01,2021-11-10,50.019984,46.66989,233.295558,-804.12,-6.7,EMA21
ETHUSDT,—,35,2021-10-29,2021-11-14,4422.425112,4624.18675,2.724531,525.06,4.56,PARTIAL
SOLUSDT,—,50,2021-10-22,2021-11-16,196.447032,218.71144,62.755038,1371.15,11.33,EMA21
NEARUSDT,—,59,2021-10-25,2021-11-16,12.330857,9.660488,1012.683793,-2726.51,-21.66,EMA21
ETHUSDT,—,35,2021-10-29,2021-11-16,4422.425112,4203.44536,2.724531,-620.12,-4.95,EMA21
AVAXUSDT,—,57,2021-11-13,2021-11-24,97.618032,115.18238,122.385513,2123.58,17.99,PARTIAL
CRVUSDT,—,55,2021-11-24,2021-11-27,5.855681,4.835581,2040.566621,-2103.4,-17.42,PARTIAL
AVAXUSDT,—,57,2021-11-13,2021-12-02,97.618032,107.61833,122.385513,1198.77,10.24,EMA21
CRVUSDT,—,55,2021-11-24,2021-12-03,5.855681,4.356456,2040.566621,-3080.11,-25.6,EMA21
FETUSDT,—,45,2023-02-05,2023-02-09,0.45016,0.388806,25183.439903,-1566.24,-13.63,PARTIAL
LTCUSDT,—,31,2023-02-15,2023-02-19,102.902256,97.381285,109.205005,-624.79,-5.37,PARTIAL
LTCUSDT,—,31,2023-02-15,2023-02-21,102.902256,93.6593,109.205005,-1030.84,-8.98,EMA21
FETUSDT,—,45,2023-02-05,2023-03-06,0.45016,0.41917,25183.439903,-802.32,-6.88,EMA21
INJUSDT,—,33,2023-04-03,2023-04-20,5.8797,7.902047,1859.713309,3735.36,34.4,PARTIAL
INJUSDT,—,33,2023-04-03,2023-04-23,5.8797,6.871677,1859.713309,1821.08,16.87,EMA21
TRXUSDT,—,43,2023-05-20,2023-05-31,0.072628,0.075182,158198.433706,380.71,3.52,PARTIAL
LTCUSDT,—,34,2023-06-03,2023-06-05,96.106824,87.666145,121.437884,-1047.34,-8.78,PARTIAL
LTCUSDT,—,34,2023-06-03,2023-06-05,96.106824,87.578435,121.437884,-1057.98,-8.87,EMA21
XRPUSDT,—,32,2023-06-04,2023-06-05,0.536329,0.508746,21658.369095,-620.04,-5.14,PARTIAL
TRXUSDT,—,43,2023-05-20,2023-06-09,0.072628,0.071892,158198.433706,-139.31,-1.01,EMA21
XRPUSDT,—,32,2023-06-04,2023-06-14,0.536329,0.47938,21658.369095,-1255.42,-10.62,EMA21
BTCUSDT,—,35,2023-06-21,2023-07-05,30017.885112,30489.557595,0.370315,152.26,1.57,PARTIAL
XLMUSDT,—,14,2023-06-30,2023-07-05,0.110789,0.10055,125335.941347,-1309.79,-9.24,PARTIAL
LTCUSDT,—,27,2023-06-30,2023-07-06,108.78696,95.202375,127.687936,-1760.63,-12.49,PARTIAL
XLMUSDT,—,14,2023-06-30,2023-07-06,0.110789,0.095856,125335.941347,-1897.49,-13.48,EMA21
BCHUSDT,—,9,2023-06-21,2023-07-09,136.00872,265.4672,81.701269,10544.12,95.18,PARTIAL
LTCUSDT,—,27,2023-06-30,2023-07-14,108.78696,94.987305,127.687936,-1788.07,-12.69,EMA21
BCHUSDT,—,9,2023-06-21,2023-07-16,136.00872,249.52515,81.701269,9242.94,83.46,EMA21
BTCUSDT,—,35,2023-06-21,2023-07-17,30017.885112,30092.793,0.370315,5.48,0.25,EMA21
XRPUSDT,—,45,2023-07-13,2023-07-22,0.815952,0.732733,15656.383154,-1327.15,-10.2,PARTIAL
INJUSDT,—,46,2023-07-14,2023-07-22,9.453557,8.611692,1260.621744,-1084.05,-8.91,PARTIAL
XLMUSDT,—,44,2023-07-13,2023-07-24,0.155324,0.145527,82216.8823,-830.21,-6.31,PARTIAL
INJUSDT,—,46,2023-07-14,2023-07-24,9.453557,8.143766,1260.621744,-1673.33,-13.86,EMA21
LINKUSDT,—,16,2023-07-20,2023-07-25,8.367689,7.388304,1487.754669,-1480.53,-11.7,PARTIAL
XRPUSDT,—,45,2023-07-13,2023-08-02,0.815952,0.683973,15656.383154,-2089.81,-16.17,EMA21
LINKUSDT,—,16,2023-07-20,2023-08-02,8.367689,7.339974,1487.754669,-1552.36,-12.28,EMA21
XLMUSDT,—,44,2023-07-13,2023-08-03,0.155324,0.138792,82216.8823,-1383.45,-10.64,EMA21
LINKUSDT,—,42,2023-10-21,2023-11-13,8.921131,14.350821,1265.837129,6843.64,60.86,PARTIAL
INJUSDT,—,23,2023-10-22,2023-11-13,9.235382,15.402295,1254.582194,7705.99,66.77,PARTIAL
BTCUSDT,—,28,2023-10-23,2023-11-14,33096.445992,35533.414405,0.372833,883.0,7.36,PARTIAL
DYDXUSDT,—,45,2023-11-15,2023-11-18,3.985186,3.231384,4396.926164,-3346.14,-18.92,PARTIAL
SOLUSDT,—,24,2023-10-21,2023-11-20,29.343456,56.541715,384.707215,10430.33,92.69,PARTIAL
LINKUSDT,—,42,2023-10-21,2023-11-21,8.921131,13.338962,1265.837129,5564.08,49.52,EMA21
INJUSDT,—,23,2023-10-22,2023-11-21,9.235382,14.180697,1254.582194,6174.93,53.55,EMA21
BTCUSDT,—,28,2023-10-23,2023-11-21,33096.445992,35688.037525,0.372833,940.59,7.83,EMA21
