exit_key,regime_atr_threshold,roi_pct,bench_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades
atr,kapalı,29.402859697849326,-6.7942117066406515,36.2,-36.096190427812324,39.53488372093023,1.4362839034592452,43
atr,2.0,18.09711609537523,-6.7942117066406515,24.89,-10.744150370069205,66.66666666666666,10.738594393372338,6
atr,2.5,48.31018818775146,-6.7942117066406515,55.1,-12.63711330669266,47.05882352941176,3.8240310070661443,17
atr,3.0,42.28751518471585,-6.7942117066406515,49.08,-13.606371729849576,47.61904761904761,2.8145399411834315,21
atr,3.5,26.143442851067512,-6.7942117066406515,32.94,-29.672373967401754,41.17647058823529,1.613854668457122,34
atr,4.5,33.070181825043754,-6.7942117066406515,39.86,-34.285134200745034,39.02439024390244,1.5294430974186675,41
hybrid,kapalı,35.770425964593564,-6.7942117066406515,42.56,-34.477356725897494,34.883720930232556,1.6623106623064412,86
hybrid,2.0,67.75189657593938,-6.7942117066406515,74.55,-14.994880756946817,41.66666666666667,32.28816076731105,12
hybrid,2.5,56.219144377030084,-6.7942117066406515,63.01,-15.705127181259371,46.875,4.665998019342222,32
hybrid,3.0,44.10358880815159,-6.7942117066406515,50.9,-15.703906997818695,38.63636363636363,2.882540859368584,44
hybrid,3.5,33.4615396404381,-6.7942117066406515,40.26,-28.13982937960111,33.33333333333333,1.8233078637825366,72
hybrid,4.5,39.65320329567818,-6.7942117066406515,46.45,-32.603533084482585,35.36585365853659,1.7848152357035743,82
split,kapalı,10.82247188623564,-6.7942117066406515,17.62,-32.29204438625188,35.833333333333336,1.2152989773825233,120
split,2.0,43.0721102733741,-6.7942117066406515,49.87,-9.211375433661573,50.0,22.201594286216412,18
split,2.5,29.84575971178216,-6.7942117066406515,36.64,-12.101723828766476,45.83333333333333,2.836674713966676,48
split,3.0,20.04387754266659,-6.7942117066406515,26.84,-14.122410678638797,38.095238095238095,1.8146866626060598,63
split,3.5,11.457429533234698,-6.7942117066406515,18.25,-31.288667114381262,33.33333333333333,1.260320188222052,105
split,4.5,13.97703492814708,-6.7942117066406515,20.77,-29.182225393130935,35.96491228070175,1.3017453231591622,114
