exit_key,exit_label,period,start,end,roi_pct,spy_roi_pct,alpha_pct,max_dd_pct,win_rate_pct,profit_factor,trades,final_capital
atr,ATR-trail,5y,2021-06-07,2026-06-03,51.96737303767671,78.64942324545821,-26.68,-32.215546065932664,38.81278538812785,1.4296720559142126,219,151967.37
hybrid,8/21-EMA hibrit,5y,2021-06-07,2026-06-03,19.258972009125074,78.64942324545821,-59.39,-25.589665593343202,36.80297397769517,1.1562986495136862,538,119258.97
split,½hibrit+½ATR,5y,2021-06-07,2026-06-03,11.87632121722826,78.64942324545821,-66.77,-38.82992822874519,34.73684210526316,1.0966021952849085,760,111876.32
atr,ATR-trail,3y,2023-06-05,2026-06-03,39.53446533148486,76.59564504799812,-37.06,-33.619235234587606,40.64516129032258,1.4724640758149872,155,139534.47
hybrid,8/21-EMA hibrit,3y,2023-06-05,2026-06-03,15.581673607059955,76.59564504799812,-61.01,-23.66197601462352,35.978835978835974,1.182870089600754,378,115581.67
split,½hibrit+½ATR,3y,2023-06-05,2026-06-03,10.057287418684634,76.59564504799812,-66.54,-35.599063737016145,33.99638336347197,1.1126007820378174,553,110057.29
atr,ATR-trail,2y,2024-06-04,2026-06-03,69.00793968166687,42.7430496413634,26.26,-14.323450281498706,43.956043956043956,2.1032214985552433,91,169007.94
hybrid,8/21-EMA hibrit,2y,2024-06-04,2026-06-03,32.619621808383606,42.7430496413634,-10.12,-11.217013350584459,37.71186440677966,1.4944810891662594,236,132619.62
split,½hibrit+½ATR,2y,2024-06-04,2026-06-03,49.82223531214676,42.7430496413634,7.08,-14.999422680345864,39.29712460063898,1.7626346029434978,313,149822.24
atr,ATR-trail,1y,2025-06-04,2026-06-03,67.84145820869641,26.565200610810003,41.28,-14.323543842755504,53.191489361702125,2.9202378549896997,47,167841.46
hybrid,8/21-EMA hibrit,1y,2025-06-04,2026-06-03,41.42831940840057,26.565200610810003,14.86,-9.252440580599187,38.333333333333336,2.11968381425831,120,141428.32
split,½hibrit+½ATR,1y,2025-06-04,2026-06-03,61.997379290451704,26.565200610810003,35.43,-12.89570292243587,43.94904458598726,2.7941375880210373,157,161997.38
atr,ATR-trail,6mo,2025-12-04,2026-06-03,23.23073673591567,10.206168997209186,13.02,-14.162908342115843,50.0,2.2602775332282463,26,123230.74
hybrid,8/21-EMA hibrit,6mo,2025-12-04,2026-06-03,21.43511506513416,10.206168997209186,11.23,-9.15080608236446,39.705882352941174,2.1577184190744725,68,121435.12
split,½hibrit+½ATR,6mo,2025-12-04,2026-06-03,15.515134331691627,10.206168997209186,5.31,-13.793316094562247,36.470588235294116,1.7696966016247564,85,115515.13
