symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
ETHUSDT,—,11,2021-08-13,2021-08-16,3324.977856,3141.810205,1.501727,-284.78,-5.51,A:EMA8
ADAUSDT,—,14,2021-08-13,2021-08-17,2.140311,1.921014,2333.775454,-521.27,-10.25,A:EMA8
BTCUSDT,—,17,2021-08-20,2021-08-24,49361.927976,47602.498985,0.111847,-207.63,-3.56,A:EMA8
FETUSDT,—,45,2021-08-31,2021-09-05,0.72538,0.669394,8499.945499,-487.73,-7.72,A:EMA8
ADAUSDT,—,14,2021-08-13,2021-09-07,2.140311,2.510229,2333.775454,852.45,17.28,A:EMA21
ETHUSDT,—,11,2021-08-13,2021-09-07,3324.977856,3429.418145,1.501727,146.7,3.14,A:EMA21
BTCUSDT,—,17,2021-08-20,2021-09-07,49361.927976,46793.434405,0.111847,-298.03,-5.2,A:EMA21
BTCUSDT,—,17,2021-08-20,2021-09-08,49361.927976,45979.237535,0.223694,-778.01,-6.85,B:ATR2.5x
FETUSDT,—,45,2021-08-31,2021-09-08,0.72538,0.885869,16999.890997,2700.91,22.12,B:ATR2.5x
ADAUSDT,—,14,2021-08-13,2021-09-10,2.140311,2.379426,4667.550907,1094.98,11.17,B:ATR2.5x
ETHUSDT,—,11,2021-08-13,2021-09-10,3324.977856,3204.04671,3.003454,-382.82,-3.64,B:ATR2.5x
SOLUSDT,—,13,2021-08-15,2021-09-14,53.573825,158.64168,93.328172,9785.99,196.12,A:EMA8
SOLUSDT,—,13,2021-08-15,2021-09-14,53.573825,158.64168,186.656344,19571.97,196.12,B:ATR2.5x
ALGOUSDT,—,60,2021-09-08,2021-09-17,1.917833,1.920715,4058.439048,-3.88,0.15,A:EMA8
HBARUSDT,—,52,2021-09-14,2021-09-17,0.456665,0.425361,31466.727562,-1012.79,-6.85,B:ATR2.5x
FETUSDT,—,45,2021-08-31,2021-09-19,0.72538,0.763952,8499.945499,315.2,5.32,A:EMA21
HBARUSDT,—,52,2021-09-14,2021-09-19,0.456665,0.396205,15733.363781,-964.66,-13.24,A:EMA8
SOLUSDT,—,13,2021-08-15,2021-09-20,53.573825,132.570845,93.328172,7355.27,147.45,A:EMA21
ALGOUSDT,—,60,2021-09-08,2021-09-20,1.917833,1.67109,4058.439048,-1015.96,-12.87,A:EMA21
ALGOUSDT,—,60,2021-09-08,2021-09-20,1.917833,1.67109,8116.878097,-2031.92,-12.87,B:ATR2.5x
ATOMUSDT,—,63,2021-09-12,2021-09-20,34.917912,33.958985,222.648219,-228.84,-2.75,A:EMA8
HBARUSDT,—,52,2021-09-14,2021-09-20,0.456665,0.338991,15733.363781,-1863.93,-25.77,A:EMA21
ATOMUSDT,—,63,2021-09-12,2021-09-21,34.917912,30.404325,222.648219,-1019.49,-12.93,A:EMA21
ATOMUSDT,—,63,2021-09-12,2021-09-21,34.917912,30.404325,445.296438,-2038.97,-12.93,B:ATR2.5x
SOLUSDT,—,50,2021-10-22,2021-10-27,196.447032,184.213265,32.719816,-412.74,-6.23,A:EMA8
NEARUSDT,—,59,2021-10-25,2021-10-30,12.330857,10.465278,528.002658,-997.07,-15.13,A:EMA8
NEARUSDT,—,59,2021-10-25,2021-10-31,12.330857,10.141764,1056.005317,-2335.42,-17.75,B:ATR2.5x
CRVUSDT,—,63,2021-10-25,2021-11-02,4.801838,4.281568,1356.369407,-718.0,-10.83,A:EMA8
CRVUSDT,—,63,2021-10-25,2021-11-02,4.801838,4.281568,2712.738813,-1436.0,-10.83,B:ATR2.5x
DOTUSDT,—,48,2021-11-01,2021-11-09,50.019984,50.70383,122.084553,71.19,1.37,A:EMA8
CRVUSDT,—,63,2021-10-25,2021-11-10,4.801838,4.076876,1356.369407,-995.36,-15.1,A:EMA21
DOTUSDT,—,48,2021-11-01,2021-11-10,50.019984,46.66989,122.084553,-420.8,-6.7,A:EMA21
ETHUSDT,—,35,2021-10-29,2021-11-14,4422.425112,4619.56025,1.42646,268.31,4.46,A:EMA8
DOTUSDT,—,48,2021-11-01,2021-11-15,50.019984,44.702845,244.169106,-1321.41,-10.63,B:ATR2.5x
SOLUSDT,—,50,2021-10-22,2021-11-16,196.447032,218.71144,32.719816,714.9,11.33,A:EMA21
NEARUSDT,—,59,2021-10-25,2021-11-16,12.330857,9.660488,528.002658,-1421.57,-21.66,A:EMA21
ETHUSDT,—,35,2021-10-29,2021-11-16,4422.425112,4203.44536,1.42646,-324.67,-4.95,A:EMA21
ETHUSDT,—,35,2021-10-29,2021-11-16,4422.425112,4203.44536,2.852919,-649.34,-4.95,B:ATR2.5x
SOLUSDT,—,50,2021-10-22,2021-11-18,196.447032,194.717485,65.439631,-138.78,-0.88,B:ATR2.5x
AVAXUSDT,—,57,2021-11-13,2021-11-24,97.618032,115.06714,64.334459,1108.9,17.87,A:EMA8
AVAXUSDT,—,57,2021-11-13,2021-11-24,97.618032,115.06714,128.668918,2217.79,17.87,B:ATR2.5x
