symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
ORCL,IGV,64,2023-06-05,2023-06-07,107.02,105.2,93.4397,-171.39,-1.7,PARTIAL
VRSK,—,63,2023-06-05,2023-06-07,223.31,218.38,44.7713,-222.12,-2.21,PARTIAL
NOW,IGV,60,2023-06-05,2023-06-07,111.43,105.61,89.693,-523.68,-5.22,PARTIAL
PLTR,IGV,60,2023-06-05,2023-06-21,15.25,14.63,655.1653,-407.38,-4.06,PARTIAL
PLTR,IGV,60,2023-06-05,2023-06-22,15.25,14.03,655.1653,-802.94,-8.02,EMA21
NOW,IGV,60,2023-06-05,2023-06-26,111.43,107.43,89.693,-360.31,-3.59,EMA21
UBER,—,72,2023-06-26,2023-06-29,44.46,42.56,225.7333,-429.68,-4.27,PARTIAL
ORCL,IGV,64,2023-06-05,2023-07-06,107.02,115.28,93.4397,770.43,7.72,EMA21
UBER,—,72,2023-06-26,2023-07-06,44.46,42.05,225.7333,-545.22,-5.42,EMA21
LLY,XLV,73,2023-06-22,2023-07-07,458.05,451.85,22.1447,-138.62,-1.35,PARTIAL
LLY,XLV,73,2023-06-22,2023-07-07,458.05,451.4,22.1447,-148.64,-1.45,EMA21
RCL,—,60,2023-06-05,2023-07-11,87.67,101.23,114.0195,1544.52,15.47,PARTIAL
UNM,—,65,2023-07-07,2023-07-12,49.05,47.57,204.0453,-304.1,-3.02,PARTIAL
RCL,—,60,2023-06-05,2023-07-14,87.67,97.61,114.0195,1132.23,11.34,EMA21
ISRG,XLV,71,2023-07-14,2023-07-20,354.28,347.49,28.2531,-193.54,-1.92,PARTIAL
ISRG,XLV,71,2023-07-14,2023-07-21,354.28,336.16,28.2531,-513.68,-5.12,EMA21
UAL,—,68,2023-07-21,2023-07-25,57.66,54.19,173.9844,-604.04,-6.01,PARTIAL
UAL,—,68,2023-07-21,2023-07-25,57.66,54.14,173.9844,-613.48,-6.1,EMA21
ROL,—,58,2023-07-06,2023-07-27,43.51,40.8,231.8981,-631.15,-6.24,PARTIAL
ROL,—,58,2023-07-06,2023-07-27,43.51,40.76,231.8981,-640.61,-6.33,EMA21
SPG,—,34,2023-07-06,2023-07-27,119.2,122.94,84.645,315.34,3.14,PARTIAL
VRSK,—,63,2023-06-05,2023-07-31,223.31,228.6,44.7713,235.25,2.37,EMA21
RCL,—,85,2023-07-27,2023-08-02,109.77,105.15,88.513,-410.46,-4.21,PARTIAL
ADBE,IGV,83,2023-07-31,2023-08-02,546.61,530.03,17.7835,-296.21,-3.03,PARTIAL
SPG,—,34,2023-07-06,2023-08-03,119.2,118.19,84.645,-86.38,-0.84,EMA21
PHM,—,63,2023-07-25,2023-08-03,83.49,81.41,119.0389,-248.8,-2.49,PARTIAL
RCL,—,85,2023-07-27,2023-08-09,109.77,103.02,88.513,-599.18,-6.15,EMA21
ADBE,IGV,83,2023-07-31,2023-08-09,546.61,513.01,17.7835,-598.98,-6.15,EMA21
UNM,—,65,2023-07-07,2023-08-10,49.05,48.53,204.0453,-108.03,-1.06,EMA21
SLB,XLE,72,2023-08-09,2023-08-15,59.56,58.3,158.4311,-200.61,-2.11,PARTIAL
HAL,—,63,2023-08-09,2023-08-15,40.49,39.47,232.9864,-239.64,-2.52,PARTIAL
LYB,—,56,2023-08-10,2023-08-15,100.78,96.31,93.2718,-418.31,-4.43,PARTIAL
LYB,—,56,2023-08-10,2023-08-15,100.78,96.22,93.2718,-427.29,-4.53,EMA21
PHM,—,63,2023-07-25,2023-08-16,83.49,82.44,119.0389,-126.56,-1.26,EMA21
MCK,—,61,2023-08-03,2023-08-16,435.47,429.41,21.7872,-133.59,-1.39,PARTIAL
MCK,—,61,2023-08-03,2023-08-17,435.47,416.32,21.7872,-418.58,-4.4,EMA21
SLB,XLE,72,2023-08-09,2023-08-21,59.56,57.35,158.4311,-350.65,-3.7,EMA21
HAL,—,63,2023-08-09,2023-08-22,40.49,38.52,232.9864,-460.54,-4.87,EMA21
TJX,XLY,59,2023-08-16,2023-08-24,89.38,88.27,103.072,-116.49,-1.25,PARTIAL
LLY,XLV,58,2023-08-15,2023-08-30,547.06,547.72,16.9212,9.65,0.12,PARTIAL
REGN,—,56,2023-08-21,2023-08-31,845.05,826.08,10.8989,-208.24,-2.24,PARTIAL
CSCO,XLK,57,2023-08-17,2023-09-07,54.77,56.76,166.7486,329.97,3.63,PARTIAL
DLR,—,65,2023-08-24,2023-09-08,127.56,129.92,71.5525,166.87,1.84,PARTIAL
CSCO,XLK,57,2023-08-17,2023-09-19,54.77,55.76,166.7486,162.32,1.79,EMA21
DLR,—,65,2023-08-24,2023-09-19,127.56,126.8,71.5525,-56.06,-0.6,EMA21
TJX,XLY,59,2023-08-16,2023-09-20,89.38,90.52,103.072,116.27,1.28,EMA21
LLY,XLV,58,2023-08-15,2023-09-21,547.06,549.3,16.9212,36.53,0.41,EMA21
L,—,62,2023-09-19,2023-09-21,65.13,64.16,141.9478,-139.78,-1.5,PARTIAL
IBM,XLK,60,2023-09-20,2023-09-22,149.95,146.84,61.4528,-192.82,-2.08,PARTIAL
AJG,—,61,2023-09-19,2023-09-26,235.97,230.81,39.1738,-203.41,-2.18,PARTIAL
IBM,XLK,60,2023-09-20,2023-09-26,149.95,143.03,61.4528,-427.04,-4.62,EMA21
AJG,—,61,2023-09-19,2023-09-27,235.97,229.98,39.1738,-235.92,-2.54,EMA21
REGN,—,56,2023-08-21,2023-09-29,845.05,821.73,10.8989,-255.66,-2.76,EMA21
L,—,62,2023-09-19,2023-09-29,65.13,63.22,141.9478,-273.62,-2.94,EMA21
MCK,—,60,2023-09-25,2023-09-29,446.78,434.63,20.3953,-249.19,-2.72,PARTIAL
XOM,XLE,66,2023-09-27,2023-10-02,120.3,115.57,75.1772,-356.64,-3.93,PARTIAL
XOM,XLE,66,2023-09-27,2023-10-02,120.3,115.46,75.1772,-365.33,-4.02,EMA21
FERG,—,58,2023-09-28,2023-10-03,168.13,160.37,53.6769,-418.28,-4.62,PARTIAL
PCAR,—,54,2023-10-06,2023-10-12,87.55,85.26,101.2152,-233.55,-2.62,PARTIAL
PCAR,—,54,2023-10-06,2023-10-12,87.55,85.17,101.2152,-242.18,-2.72,EMA21
FERG,—,58,2023-09-28,2023-10-18,168.13,159.59,53.6769,-460.12,-5.08,EMA21
CME,—,70,2023-10-06,2023-10-19,212.1,214.01,41.7937,78.47,0.9,PARTIAL
VRTX,—,57,2023-10-06,2023-10-19,360.91,364.62,24.5572,89.59,1.03,PARTIAL
LLY,XLV,78,2023-10-12,2023-10-19,610.99,590.5,14.6878,-302.36,-3.35,PARTIAL
LLY,XLV,78,2023-10-12,2023-10-23,610.99,575.79,14.6878,-518.56,-5.76,EMA21
PGR,—,74,2023-10-18,2023-10-23,159.31,153.4,55.6947,-330.33,-3.71,PARTIAL
VRTX,—,57,2023-10-06,2023-10-26,360.91,360.74,24.5572,-5.68,-0.05,EMA21
MCK,—,60,2023-09-25,2023-10-27,446.78,447.36,20.3953,10.35,0.13,EMA21
CME,—,70,2023-10-06,2023-10-27,212.1,208.72,41.7937,-142.89,-1.6,EMA21
TRGP,—,60,2023-11-02,2023-11-07,90.32,85.48,96.127,-467.23,-5.36,PARTIAL
TRGP,—,60,2023-11-02,2023-11-07,90.32,85.39,96.127,-475.45,-5.46,EMA21
WELL,—,58,2023-11-02,2023-11-07,87.87,85.61,98.7924,-225.07,-2.58,PARTIAL
VRTX,—,64,2023-11-02,2023-11-09,376.85,368.39,23.0472,-196.61,-2.25,PARTIAL
WELL,—,58,2023-11-02,2023-11-09,87.87,84.51,98.7924,-333.17,-3.82,EMA21
AJG,—,64,2023-11-02,2023-11-14,242.39,244.02,35.8256,56.69,0.67,PARTIAL
VRTX,—,64,2023-11-02,2023-11-15,376.85,348.82,23.0472,-647.63,-7.44,EMA21
AZO,—,56,2023-11-09,2023-11-16,2681.1,2656.9,3.1835,-78.55,-0.9,PARTIAL
AZO,—,56,2023-11-09,2023-11-27,2681.1,2609.23,3.1835,-230.31,-2.68,EMA21
CTAS,—,61,2023-11-07,2023-11-29,131.68,137.2,65.0349,357.89,4.2,PARTIAL
WELL,—,60,2023-11-27,2023-11-29,90.19,88.16,96.7664,-198.54,-2.26,PARTIAL
