symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
ORCL,IGV,64,2023-06-05,2023-06-07,107.02,105.09,46.7198,-91.11,-1.8,A:EMA8
VRSK,—,63,2023-06-05,2023-06-07,223.31,218.16,22.3856,-116.45,-2.3,A:EMA8
NOW,IGV,60,2023-06-05,2023-06-07,111.43,105.5,44.8465,-267.08,-5.32,A:EMA8
PLTR,IGV,60,2023-06-05,2023-06-07,15.25,14.67,655.1653,-384.27,-3.83,B:ATR2.5x
ORCL,IGV,64,2023-06-05,2023-06-13,107.02,116.5,93.4397,885.19,8.87,B:ATR2.5x
PLTR,IGV,60,2023-06-05,2023-06-21,15.25,14.62,327.5827,-208.99,-4.16,A:EMA8
PLTR,IGV,60,2023-06-05,2023-06-22,15.25,14.03,327.5827,-401.97,-8.02,A:EMA21
NOW,IGV,60,2023-06-05,2023-06-26,111.43,107.43,44.8465,-180.66,-3.59,A:EMA21
NOW,IGV,60,2023-06-05,2023-06-26,111.43,107.43,89.693,-360.31,-3.59,B:ATR2.5x
UBER,—,72,2023-06-26,2023-06-29,44.46,42.52,113.8754,-222.1,-4.36,A:EMA8
ORCL,IGV,64,2023-06-05,2023-07-06,107.02,115.28,46.7198,384.72,7.72,A:EMA21
UBER,—,72,2023-06-26,2023-07-06,44.46,42.05,113.8754,-275.54,-5.42,A:EMA21
LLY,XLV,73,2023-06-22,2023-07-07,458.05,451.4,11.1759,-75.51,-1.45,A:EMA8
LLY,XLV,73,2023-06-22,2023-07-07,458.05,451.4,11.1759,-75.51,-1.45,A:EMA21
RCL,—,60,2023-06-05,2023-07-11,87.67,101.13,57.0098,765.99,15.35,A:EMA8
LLY,XLV,73,2023-06-22,2023-07-11,458.05,438.73,22.3519,-433.23,-4.22,B:ATR2.5x
RCL,—,60,2023-06-05,2023-07-14,87.67,97.61,57.0098,565.61,11.34,A:EMA21
RCL,—,60,2023-06-05,2023-07-14,87.67,97.61,114.0195,1132.23,11.34,B:ATR2.5x
META,XLC,72,2023-07-11,2023-07-20,298.53,302.07,17.0123,58.93,1.19,A:EMA8
ISRG,XLV,71,2023-07-14,2023-07-20,354.28,347.14,14.4308,-104.35,-2.02,A:EMA8
META,XLC,72,2023-07-11,2023-07-21,298.53,293.82,17.0123,-81.38,-1.58,A:EMA21
META,XLC,72,2023-07-11,2023-07-21,298.53,293.82,34.0246,-161.76,-1.58,B:ATR2.5x
ISRG,XLV,71,2023-07-14,2023-07-21,354.28,336.16,14.4308,-262.85,-5.12,A:EMA21
ISRG,XLV,71,2023-07-14,2023-07-21,354.28,336.16,28.8616,-524.71,-5.12,B:ATR2.5x
UAL,—,68,2023-07-21,2023-07-25,57.66,54.14,87.9229,-310.51,-6.1,A:EMA8
UAL,—,68,2023-07-21,2023-07-25,57.66,54.14,87.9229,-310.51,-6.1,A:EMA21
ROL,—,58,2023-07-06,2023-07-27,43.51,40.76,117.1024,-323.99,-6.33,A:EMA8
ROL,—,58,2023-07-06,2023-07-27,43.51,40.76,117.1024,-323.99,-6.33,A:EMA21
ROL,—,58,2023-07-06,2023-07-27,43.51,40.76,234.2049,-646.97,-6.33,B:ATR2.5x
UAL,—,68,2023-07-21,2023-07-27,57.66,53.18,175.8457,-788.58,-7.76,B:ATR2.5x
STE,—,66,2023-07-21,2023-07-27,232.28,229.44,21.8207,-63.23,-1.22,A:EMA8
VRSK,—,63,2023-06-05,2023-07-31,223.31,228.6,22.3856,117.13,2.37,A:EMA21
VRSK,—,63,2023-06-05,2023-07-31,223.31,228.6,44.7713,235.25,2.37,B:ATR2.5x
STE,—,66,2023-07-21,2023-07-31,232.28,225.21,21.8207,-155.39,-3.04,A:EMA21
STE,—,66,2023-07-21,2023-08-01,232.28,223.67,43.6415,-376.89,-3.7,B:ATR2.5x
RCL,—,85,2023-07-27,2023-08-02,109.77,105.04,44.487,-211.48,-4.31,A:EMA8
LRCX,SMH,61,2023-07-27,2023-08-02,70.25,68.49,69.5043,-123.51,-2.5,A:EMA8
ADBE,IGV,83,2023-07-31,2023-08-02,546.61,529.5,8.9791,-154.81,-3.13,A:EMA8
RCL,—,85,2023-07-27,2023-08-03,109.77,104.56,88.9741,-464.59,-4.74,B:ATR2.5x
UBER,—,72,2023-06-26,2023-08-04,44.46,45.13,227.7508,152.61,1.52,B:ATR2.5x
RCL,—,85,2023-07-27,2023-08-09,109.77,103.02,44.487,-301.65,-6.15,A:EMA21
ADBE,IGV,83,2023-07-31,2023-08-09,546.61,513.01,8.9791,-302.93,-6.15,A:EMA21
ADBE,IGV,83,2023-07-31,2023-08-09,546.61,513.01,17.9583,-604.86,-6.15,B:ATR2.5x
SMCI,XLK,77,2023-08-04,2023-08-09,33.84,26.57,139.5153,-1015.1,-21.48,A:EMA8
SMCI,XLK,77,2023-08-04,2023-08-09,33.84,26.57,139.5153,-1015.1,-21.48,A:EMA21
SMCI,XLK,77,2023-08-04,2023-08-09,33.84,26.57,279.0306,-2029.21,-21.48,B:ATR2.5x
LRCX,SMH,61,2023-07-27,2023-08-11,70.25,65.1,69.5043,-358.78,-7.32,A:EMA21
LRCX,SMH,61,2023-07-27,2023-08-11,70.25,65.1,139.0087,-716.55,-7.32,B:ATR2.5x
SLB,XLE,72,2023-08-09,2023-08-15,59.56,58.24,75.8735,-101.03,-2.21,A:EMA8
HAL,—,63,2023-08-09,2023-08-15,40.49,39.43,111.5784,-119.7,-2.62,A:EMA8
MPC,—,62,2023-08-09,2023-08-15,144.17,142.41,31.3342,-56.37,-1.22,A:EMA8
URI,—,71,2023-08-01,2023-08-16,474.38,463.42,10.2405,-113.44,-2.31,A:EMA8
URI,—,71,2023-08-01,2023-08-16,474.38,463.42,10.2405,-113.44,-2.31,A:EMA21
URI,—,71,2023-08-01,2023-08-17,474.38,452.02,20.481,-459.42,-4.71,B:ATR2.5x
SLB,XLE,72,2023-08-09,2023-08-21,59.56,57.35,75.8735,-168.46,-3.7,A:EMA21
SLB,XLE,72,2023-08-09,2023-08-22,59.56,56.33,151.747,-491.98,-5.43,B:ATR2.5x
HAL,—,63,2023-08-09,2023-08-22,40.49,38.52,111.5784,-221.09,-4.87,A:EMA21
HAL,—,63,2023-08-09,2023-08-24,40.49,38.18,223.1567,-516.93,-5.7,B:ATR2.5x
PWR,—,64,2023-08-22,2023-08-24,206.8,201.26,21.1586,-118.42,-2.68,A:EMA8
PWR,—,64,2023-08-22,2023-08-24,206.8,201.26,21.1586,-118.42,-2.68,A:EMA21
LLY,XLV,58,2023-08-15,2023-08-30,547.06,547.17,8.1088,-0.35,0.02,A:EMA8
CSCO,XLK,57,2023-08-17,2023-09-07,54.77,56.7,79.6445,152.55,3.53,A:EMA8
DLR,—,65,2023-08-24,2023-09-08,127.56,129.79,34.0104,74.36,1.74,A:EMA8
CSCO,XLK,57,2023-08-17,2023-09-12,54.77,56.31,159.2889,242.47,2.8,B:ATR2.5x
