symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
GE,XLI,68,2025-06-04,2025-06-10,251.08,241.64,79.5976,-753.7,-3.76,ATR
STX,—,71,2025-06-04,2025-07-09,127.74,141.8,156.4778,2197.28,11.0,ATR
NFLX,XLC,82,2025-06-04,2025-07-10,124.07,124.87,161.165,127.45,0.65,ATR
APH,—,84,2025-06-04,2025-07-23,91.98,100.56,217.4194,1862.46,9.32,ATR
RCL,—,87,2025-07-10,2025-07-30,341.63,330.65,60.8164,-669.75,-3.21,ATR
PWR,—,82,2025-06-04,2025-08-01,359.4,394.58,55.627,1954.96,9.79,ATR
AVGO,SMH,82,2025-07-09,2025-08-20,278.12,290.73,75.3773,948.58,4.53,ATR
NOC,—,58,2025-08-01,2025-09-09,586.91,570.77,36.5593,-591.94,-2.75,ATR
JNJ,XLV,58,2025-08-20,2025-09-18,178.98,173.9,120.5453,-614.89,-2.84,ATR
STX,—,98,2025-07-23,2025-10-07,152.88,224.67,140.0681,10053.53,46.96,ATR
WDC,—,87,2025-07-30,2025-10-07,71.49,119.75,298.554,14407.1,67.51,ATR
HOOD,—,77,2025-09-09,2025-10-14,118.59,134.75,197.5259,3188.59,13.62,ATR
NOC,—,62,2025-10-07,2025-10-15,622.13,608.02,43.6572,-618.03,-2.27,ATR
NEM,—,83,2025-10-14,2025-10-21,90.61,86.19,295.7754,-1309.89,-4.88,ATR
URI,—,70,2025-10-15,2025-10-23,1020.82,912.93,26.3898,-2849.13,-10.57,ATR
MNST,—,60,2025-10-07,2025-10-29,68.2,66.46,398.1521,-696.52,-2.56,ATR
MPWR,—,72,2025-10-23,2025-10-31,1071.66,1003.49,24.4635,-1669.53,-6.36,ATR
GLW,—,82,2025-09-18,2025-11-13,79.68,82.24,310.9554,791.8,3.2,ATR
TER,—,69,2025-10-31,2025-11-13,181.91,169.34,142.9993,-1799.47,-6.91,ATR
LRCX,SMH,83,2025-10-29,2025-11-14,160.8,148.04,163.8865,-2093.34,-7.94,ATR
LLY,XLV,68,2025-11-13,2025-12-03,1023.69,1032.01,24.4318,201.31,0.81,ATR
WELL,—,61,2025-11-14,2025-12-09,193.98,195.51,129.5043,196.3,0.79,ATR
VTR,—,58,2025-11-13,2025-12-10,77.3,77.61,323.4897,98.8,0.4,ATR
AMAT,SMH,84,2025-12-10,2025-12-17,275.37,247.9,99.263,-2729.01,-9.98,ATR
WBD,—,72,2025-10-21,2025-12-18,20.35,27.57,1296.9593,9365.06,35.5,ATR
GM,—,73,2025-12-09,2026-01-20,77.22,77.69,347.1114,161.68,0.61,ATR
DG,—,62,2025-12-17,2026-01-29,137.08,141.57,189.1396,846.81,3.27,ATR
NEM,—,71,2026-01-20,2026-01-30,119.04,112.18,225.7108,-1548.95,-5.76,ATR
STLD,—,70,2025-12-18,2026-02-19,174.72,190.29,148.4095,2309.4,8.91,ATR
LUV,—,83,2026-01-29,2026-02-25,48.54,49.82,578.366,736.21,2.63,ATR
AMAT,SMH,79,2026-02-25,2026-03-03,395.27,350.79,78.5193,-3493.98,-11.25,ATR
TER,—,84,2025-12-03,2026-03-06,195.24,272.64,132.597,10261.59,39.65,ATR
FDX,—,74,2026-01-30,2026-03-06,259.7,288.74,103.7013,3009.35,11.18,ATR
LMT,XLI,78,2026-02-19,2026-03-16,667.04,644.23,46.1352,-1054.39,-3.42,ATR
LNT,—,64,2026-03-16,2026-03-20,73.09,68.61,384.8558,-1726.73,-6.13,ATR
EQT,—,63,2026-03-11,2026-04-01,63.88,61.0,436.9102,-1261.48,-4.51,ATR
VZ,XLC,73,2026-03-03,2026-04-06,50.91,49.08,579.4504,-1064.96,-3.6,ATR
GLW,—,70,2026-04-08,2026-04-28,165.23,152.82,166.3931,-2067.21,-7.51,ATR
TER,—,74,2026-04-08,2026-04-29,358.58,305.87,76.6868,-4043.86,-14.7,ATR
EQIX,—,76,2026-04-08,2026-05-07,1018.47,1065.16,27.0038,1258.69,4.58,ATR
QSR,—,55,2026-03-06,2026-05-13,74.04,76.33,382.5338,872.53,3.09,ATR
WST,—,64,2026-05-07,2026-05-13,322.27,301.95,83.8127,-1705.18,-6.31,ATR
EBAY,—,71,2026-05-13,2026-05-29,113.1,109.11,241.7868,-967.77,-3.53,ATR
NUE,—,57,2026-04-28,2026-06-03,225.29,257.6,123.3131,3982.37,14.34,EOD
STM,—,73,2026-04-29,2026-06-03,52.71,79.67,506.0889,13641.15,51.14,EOD
MRVL,SMH,76,2026-05-13,2026-06-03,178.09,301.5,153.5763,18950.36,69.29,EOD
FTNT,IGV,78,2026-05-29,2026-06-03,138.08,146.41,210.1547,1747.83,6.03,EOD
