symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
META,XLC,66,2021-06-07,2021-06-09,336.85,329.75,14.8351,-106.5,-2.11,A:EMA8
TXT,—,73,2021-06-07,2021-06-10,70.03,68.12,71.3985,-137.5,-2.73,A:EMA8
TXT,—,73,2021-06-07,2021-06-14,70.03,67.05,71.3985,-213.78,-4.25,A:EMA21
PSA,—,65,2021-06-07,2021-06-16,291.45,291.77,17.1429,4.21,0.11,A:EMA8
TXT,—,73,2021-06-07,2021-06-17,70.03,65.51,142.797,-646.14,-6.45,B:ATR2.5x
ANET,XLK,70,2021-06-07,2021-06-24,22.05,22.69,226.7319,143.47,2.9,A:EMA8
BX,—,69,2021-06-07,2021-06-30,94.48,96.99,52.9031,132.0,2.67,A:EMA8
FTNT,IGV,72,2021-06-17,2021-06-30,47.44,47.57,106.0706,12.6,0.28,A:EMA8
META,XLC,66,2021-06-07,2021-07-15,336.85,343.94,14.8351,103.99,2.11,A:EMA21
ANET,XLK,70,2021-06-07,2021-07-16,22.05,22.69,226.7319,143.47,2.9,A:EMA21
META,XLC,66,2021-06-07,2021-07-19,336.85,336.44,29.6703,-13.51,-0.12,B:ATR2.5x
PSA,—,65,2021-06-07,2021-08-03,291.45,309.12,17.1429,301.54,6.06,A:EMA21
PSA,—,65,2021-06-07,2021-08-06,291.45,304.27,34.2858,438.04,4.4,B:ATR2.5x
ANET,XLK,70,2021-06-07,2021-08-13,22.05,22.72,453.4639,301.53,3.03,B:ATR2.5x
DG,—,55,2021-07-19,2021-08-17,224.45,231.19,22.8624,152.92,3.0,A:EMA8
DG,—,55,2021-07-19,2021-08-17,224.45,231.19,22.8624,152.92,3.0,A:EMA21
BX,—,69,2021-06-07,2021-08-18,94.48,111.26,52.9031,886.85,17.77,A:EMA21
BX,—,69,2021-06-07,2021-08-18,94.48,111.26,105.8063,1774.71,17.77,B:ATR2.5x
PAYC,—,71,2021-08-06,2021-08-18,466.82,458.54,11.7074,-98.21,-1.77,A:EMA8
ADBE,IGV,73,2021-08-13,2021-08-18,637.82,625.83,8.5646,-103.94,-1.88,A:EMA8
DG,—,55,2021-07-19,2021-08-26,224.45,225.56,45.7247,49.33,0.5,B:ATR2.5x
KR,—,65,2021-08-18,2021-08-26,46.3,45.1,115.0527,-138.71,-2.58,A:EMA8
