symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
TXT,—,73,2021-06-07,2021-06-17,70.03,65.51,285.594,-1291.28,-6.45,ATR
META,XLC,66,2021-06-07,2021-07-19,336.85,336.44,59.3405,-26.01,-0.12,ATR
PSA,—,65,2021-06-07,2021-08-06,291.45,304.27,68.5717,877.08,4.4,ATR
ANET,XLK,70,2021-06-07,2021-08-13,22.05,22.72,906.9278,604.06,3.03,ATR
BX,—,69,2021-06-07,2021-08-18,94.48,111.26,211.6126,3550.41,17.77,ATR
DG,—,55,2021-07-19,2021-08-26,224.45,225.56,90.4303,98.53,0.5,ATR
PAYC,—,71,2021-08-06,2021-09-10,466.82,474.92,45.5036,366.28,1.73,ATR
KR,—,65,2021-08-18,2021-09-10,46.3,42.61,447.7425,-1654.62,-7.97,ATR
ADBE,IGV,73,2021-08-13,2021-09-13,637.82,644.18,33.0593,208.34,1.0,ATR
FTNT,IGV,79,2021-08-26,2021-09-13,62.08,59.29,336.4511,-940.26,-4.49,ATR
FSLR,—,55,2021-09-13,2021-09-20,106.25,95.55,191.6251,-2054.01,-10.08,ATR
STM,—,70,2021-09-14,2021-09-20,46.66,44.68,437.2491,-865.31,-4.23,ATR
ICLR,—,72,2021-09-22,2021-09-27,274.61,270.78,73.0297,-281.43,-1.39,ATR
ON,SMH,63,2021-09-10,2021-09-29,46.93,45.77,439.9232,-510.67,-2.46,ATR
MPWR,—,79,2021-09-22,2021-09-29,508.34,483.88,39.4582,-966.88,-4.81,ATR
TSCO,—,60,2021-09-10,2021-09-30,41.0,40.46,503.405,-275.63,-1.33,ATR
AZO,—,61,2021-09-29,2021-10-04,1738.39,1640.05,11.1566,-1099.17,-5.66,ATR
HIG,—,67,2021-09-29,2021-10-29,71.74,72.82,270.3998,290.91,1.51,ATR
MOS,—,56,2021-10-04,2021-11-02,38.3,37.58,497.8459,-358.99,-1.87,ATR
NFLX,XLC,72,2021-10-29,2021-11-05,69.09,64.47,288.9359,-1334.6,-6.68,ATR
AIG,—,65,2021-09-27,2021-11-09,57.08,58.67,351.3604,558.85,2.8,ATR
HLT,—,63,2021-11-05,2021-11-11,151.96,143.36,128.897,-1110.11,-5.66,ATR
TRGP,—,59,2021-10-01,2021-11-12,50.81,54.14,375.259,1246.88,6.55,ATR
ZS,—,70,2021-11-02,2021-11-22,326.13,343.34,60.1606,1033.57,5.28,ATR
TYL,—,63,2021-11-12,2021-11-23,550.63,516.94,34.8706,-1176.68,-6.12,ATR
ENPH,—,68,2021-11-11,2021-11-26,250.69,247.05,76.4277,-280.31,-1.45,ATR
DLTR,—,69,2021-11-23,2021-11-30,144.83,133.63,131.0796,-1469.63,-7.73,ATR
BX,—,66,2021-11-09,2021-12-01,146.51,137.44,134.3852,-1220.01,-6.19,ATR
COST,XLP,64,2021-11-22,2021-12-01,540.08,529.05,35.6241,-395.16,-2.04,ATR
DELL,XLK,66,2021-12-03,2021-12-13,58.53,55.64,310.0645,-898.2,-4.94,ATR
LRCX,SMH,55,2021-12-01,2021-12-20,69.41,66.01,264.3583,-899.4,-4.89,ATR
PFE,XLV,55,2021-11-26,2022-01-04,54.04,54.45,347.7473,138.84,0.75,ATR
EIX,—,64,2021-12-03,2022-01-05,66.66,65.1,272.1734,-426.89,-2.34,ATR
AVGO,SMH,65,2021-12-20,2022-01-06,64.55,63.6,290.2356,-276.9,-1.47,ATR
ON,SMH,83,2022-01-04,2022-01-18,71.01,62.94,260.926,-2108.01,-11.37,ATR
ABBV,XLV,61,2021-12-06,2022-01-21,121.45,131.78,148.8821,1536.69,8.51,ATR
SO,—,65,2022-01-31,2022-02-10,69.55,65.85,256.7877,-950.71,-5.31,ATR
PGR,—,57,2022-01-06,2022-02-11,105.33,106.04,171.2698,119.0,0.67,ATR
MDLZ,—,58,2022-01-05,2022-02-14,67.46,66.04,268.4958,-384.11,-2.11,ATR
PM,XLP,63,2022-02-10,2022-02-24,105.15,102.64,168.4364,-426.16,-2.39,ATR
CVX,XLE,64,2022-01-18,2022-03-15,129.48,158.04,139.1374,3971.64,22.06,ATR
ABBV,XLV,76,2022-02-15,2022-04-13,144.88,158.71,122.5777,1693.96,9.55,ATR
VTR,—,69,2022-03-22,2022-04-18,60.28,60.26,310.3489,-7.81,-0.03,ATR
WRB,—,71,2022-03-22,2022-04-22,43.96,45.24,425.6717,545.8,2.93,ATR
BMY,—,64,2022-02-15,2022-06-13,67.82,73.47,261.787,1475.9,8.32,ATR
ORLY,—,67,2022-11-30,2022-12-07,57.69,55.17,327.949,-828.1,-4.37,ATR
AZO,—,66,2022-11-30,2022-12-07,2581.06,2451.58,7.3283,-950.92,-5.02,ATR
MRK,XLV,70,2022-11-30,2023-01-09,110.21,110.21,171.6873,-0.91,0.01,ATR
LLY,XLV,65,2022-11-30,2023-01-09,371.38,349.31,50.9231,-1125.95,-5.94,ATR
PCG,—,71,2022-11-30,2023-01-19,15.71,15.42,1204.422,-358.17,-1.88,ATR
CAT,XLI,78,2023-01-13,2023-01-19,258.67,245.38,71.0553,-946.0,-5.14,ATR
TPR,—,75,2023-01-23,2023-02-08,44.26,43.15,409.1209,-456.2,-2.51,ATR
LVS,—,80,2023-01-13,2023-02-17,55.01,55.94,334.1474,306.08,1.68,ATR
PTC,—,59,2023-01-23,2023-02-17,135.09,130.09,134.0068,-671.15,-3.7,ATR
