symbol,sector,score,entry_date,exit_date,entry,exit,shares,pnl,pnl_pct,outcome
LTCUSDT,—,27,2023-06-30,2023-07-06,108.78696,95.107125,229.506012,-3186.4,-12.57,ATR
XLMUSDT,—,14,2023-06-30,2023-07-06,0.110789,0.095856,225278.542761,-3410.54,-13.48,ATR
BCHUSDT,—,9,2023-06-21,2023-07-09,136.00872,265.2016,146.849679,18913.02,94.99,ATR
BTCUSDT,—,35,2023-06-21,2023-07-22,30017.885112,29749.309,0.665604,-218.55,-0.89,ATR
XRPUSDT,—,45,2023-07-13,2023-07-24,0.815952,0.701047,27731.769158,-3228.6,-14.08,ATR
INJUSDT,—,46,2023-07-14,2023-07-24,9.453557,8.143766,2256.526688,-2995.29,-13.86,ATR
XLMUSDT,—,44,2023-07-13,2023-07-25,0.155324,0.144683,145628.755921,-1593.4,-6.85,ATR
LINKUSDT,—,16,2023-07-20,2023-08-02,8.367689,7.339974,2681.069919,-2797.49,-12.28,ATR
SOLUSDT,—,24,2023-10-21,2023-11-03,29.343456,39.390825,690.74977,6892.74,34.24,ATR
XRPUSDT,—,13,2023-11-06,2023-11-14,0.715372,0.628656,38041.465599,-3349.94,-12.12,ATR
LINKUSDT,—,42,2023-10-21,2023-11-21,8.921131,13.338962,2272.836773,9990.41,49.52,ATR
INJUSDT,—,23,2023-10-22,2023-11-21,9.235382,14.180697,2252.628304,11087.21,53.55,ATR
SOLUSDT,—,60,2023-11-15,2023-11-21,65.482344,51.572525,425.562144,-5969.31,-21.24,ATR
LUNCUSDT,—,52,2023-12-03,2023-12-07,0.000197,0.0002,124464070.01159,299.22,1.42,ATR
LDOUSDT,—,33,2023-11-22,2023-12-15,2.617092,2.1298,9390.220113,-4620.35,-18.62,ATR
ICPUSDT,—,45,2023-12-15,2023-12-19,7.204759,9.262086,3574.161129,7294.36,28.56,ATR
SOLUSDT,—,67,2023-12-20,2023-12-30,82.275768,101.74715,350.134931,6753.18,23.67,ATR
ADAUSDT,—,48,2023-12-07,2024-01-05,0.455864,0.540588,55326.412543,4632.32,18.59,ATR
ICPUSDT,—,60,2023-12-30,2024-01-06,12.255797,11.98899,2608.933528,-759.34,-2.18,ATR
NEARUSDT,—,42,2023-12-05,2024-01-07,2.258806,3.210178,11399.946733,10783.24,42.12,ATR
BTCUSDT,—,28,2023-10-23,2024-01-12,33096.445992,42718.555905,0.66943,6390.58,29.07,ATR
ETCUSDT,—,25,2024-01-10,2024-01-14,26.431128,26.450265,1175.698468,-39.67,0.07,ATR
LDOUSDT,—,57,2024-01-05,2024-01-18,3.560846,3.024456,8937.883199,-4853.05,-15.06,ATR
ETHUSDT,—,34,2024-01-10,2024-01-22,2586.447504,2310.7287,12.018884,-3372.69,-10.66,ATR
LINKUSDT,—,24,2024-02-02,2024-02-22,17.842262,18.093818,1597.321709,344.41,1.41,ATR
SOLUSDT,—,38,2024-02-12,2024-02-22,111.729312,101.60736,265.1669,-2740.58,-9.06,ATR
TRXUSDT,—,63,2024-02-04,2024-03-05,0.118525,0.135646,241243.374495,4069.13,14.45,ATR
FILUSDT,—,28,2024-02-22,2024-03-16,8.074454,8.822746,3609.427275,2639.91,9.27,ATR
BTCUSDT,—,40,2024-02-12,2024-03-19,49957.203816,61844.4939,0.593259,6985.92,23.79,ATR
BNBUSDT,—,57,2024-02-22,2024-03-19,382.90608,506.93845,76.14044,9376.13,32.39,ATR
SOLUSDT,—,45,2024-03-17,2024-03-19,202.021488,169.56527,175.363933,-5756.81,-16.07,ATR
APTUSDT,—,50,2024-03-25,2024-04-02,17.347967,14.679048,1845.990476,-4985.92,-15.38,ATR
FETUSDT,—,61,2024-03-06,2024-04-03,2.429942,2.57633,13523.393217,1911.95,6.02,ATR
DEXEUSDT,—,46,2024-03-22,2024-04-12,13.515804,13.416844,2328.346207,-293.12,-0.73,ATR
BCHUSDT,—,58,2024-03-27,2024-04-12,539.53128,532.4002,61.826475,-507.16,-1.32,ATR
